state,cvap,white_pct,black_pct,hispanic_pct,nonwhite_pct,foreignborn_pct,female_pct,age29andunder_pct,age65andolder_pct,median_hh_inc,clf_unemploy_pct,lesshs_pct,lesscollege_pct,lesshs_whites_pct,lesscollege_whites_pct,rural_pct,ruralurban_cc,weight
Alabama,166973.09044064608,66.18935032979672,26.3527531808466,3.9970345974645776,33.81064967020328,3.4186819533484094,51.536593265586546,39.22471950960554,15.33503099667766,45708.30718686663,8.406749967360575,15.159482548004151,75.86024281450882,12.256876377710377,72.12312564427198,40.67743372520278,2.901745117496536,0.0461692860898767
Arizona,1799245.3784648671,56.1467305791403,4.013404320111074,30.539131825347347,43.8532694208597,13.398791453229986,50.29995198093147,40.79052673395875,15.904566448448188,51693.6619328277,8.163090192692863,13.79747691690925,71.96035499238336,5.99616166679974,65.64344931165617,9.948572794005905,1.6174272806865404,0.39914777123543166
Arkansas,91814.64704400109,73.36771241231179,15.422816856618487,6.974935252884314,26.632287587688207,4.683689116825091,50.92781740909128,40.05629832452521,15.664186827431758,43195.05107543544,6.969934078885241,14.791668070826132,78.28436518211296,11.856674051927007,76.01097502528604,43.30626475862362,3.7753958939144447,0.04321659406677865
California,2357376.5154885086,38.384547337487675,5.583772694748921,38.557206426643454,61.615452662512325,27.002572501424567,50.326311191077096,41.4398086459207,12.875654463061522,65366.51227985384,8.864344170305868,18.09337642698573,68.41805539932223,5.721476329283262,57.969902715003805,4.9740418535405935,1.3324654502022368,0.09850779424697712
Colorado,297724.59562125243,68.9666644586648,3.8733639405929288,21.1276296602445,31.0333355413352,9.78569009543233,49.81362287390413,40.46772943083,12.651664071487026,63927.37914725724,6.088812596015339,9.025144778750974,61.354719681632155,4.026005237996902,55.48512716144117,13.454990975634132,2.0615362654976073,0.07872284233539671
Connecticut,511744.0899257921,68.67498752985172,9.688371691230786,14.984464563879204,31.325012470148277,14.022549372033994,51.22653313158166,37.41760645605352,15.466411411787975,72706.80833674695,7.968445084147281,9.851554671021125,61.89888188246695,6.191853523112238,57.012854562333686,11.883846053937255,1.7654932187473005,0.2020573397446513
Delaware,296628.82291014714,63.503602779516314,21.13523662799095,8.843740471490705,36.49639722048368,8.831757953129081,51.59747297246699,38.256864538699794,16.458095956435002,61520.36888931684,7.145872777762565,11.154318328980949,69.43745424223314,8.153327868523704,66.96907226743829,16.999530601714046,1.5928907290613514,0.4334888603130525
District of Columbia,494090,35.7691624848826,47.4283355766006,10.4863514762317,64.2308375151174,14.0381997817936,52.5607389276929,41.5982179302559,11.4059140315231,72935,8.73435006067341,10.0454214606142,44.6398140808688,0.617842406054856,9.18819921004435,0,1,1
Florida,695146.8347778928,55.584304779700226,15.445210906485462,24.113300135529187,44.415695220299774,19.903588014538254,51.1335325964081,35.81710878318143,19.050562265296392,49050.77709057551,8.42934028837788,12.84174775278715,72.03102291794775,7.616420659387887,66.02016282875844,8.672338980977601,1.5375928837970005,0.052511012389571975
Georgia,237268.80997631524,54.124822265261415,30.74734734615795,9.17873678623908,45.875177734738585,9.848474946828095,51.25938181976608,41.62541636466614,12.340385293267264,52480.76617059366,8.60112692885189,14.134493022775372,70.57780802198758,9.908010449827744,64.2335391745305,24.253125109409478,2.2723557625661925,0.035038033120864245
Hawaii,524747.2204902157,22.372667450491033,1.6814022815797012,10.032951749527085,77.62733254950896,17.935995223481928,49.78529720950043,38.509969708159844,16.1004455348186,72569.94412704746,5.523531693271047,8.734408384592689,68.59506800120828,3.1438800411973964,54.43310806153055,8.122848270915997,2.675473371902019,0.5219829624000617
