poll_id,pollster_id,pollster,sponsor_ids,sponsors,display_name,pollster_rating_id,pollster_rating_name,numeric_grade,pollscore,methodology,transparency_score,state,start_date,end_date,sponsor_candidate_id,sponsor_candidate,sponsor_candidate_party,question_id,sample_size,population,subpopulation,population_full,tracking,created_at,notes,url,url_article,url_topline,url_crosstab,source,internal,partisan,politician_id,politician,yes,no,alternate_answers
74210,568,YouGov,133,CBS News,YouGov,391,YouGov,3.0,-1.1,Online Matched Sample,,,1/13/21,1/15/21,,"",,139250,2166,a,,a,,1/17/21 13:06,"",https://drive.google.com/file/d/1H3uFRD7X0QttkZ26bccmlQVkbS-63uGj/view,,,,538,,,11,Donald Trump,41.0,59.0,0
74211,458,Suffolk,135,USA Today,Suffolk University,323,Suffolk University,2.9,-1.0,Live Phone,,,1/12/21,1/15/21,,"",,139251,1000,rv,,rv,,1/17/21 13:19,"",https://www.suffolk.edu/-/media/suffolk/documents/academics/research-at-suffolk/suprc/polls/national/2021/1-17-2021-national-poll-with-usa-today-crosstabs.pdf,,,https://www.suffolk.edu/-/media/suffolk/documents/academics/research-at-suffolk/suprc/polls/national/2021/1-17-2021-national-poll-with-usa-today-crosstabs.pdf,538,,,11,Donald Trump,40.9,53.6,5.5
74240,1189,Morning Consult,"","",Morning Consult,218,Morning Consult,1.9,-0.3,Online Opt-In Panel,,,1/9/21,1/15/21,,"",,139387,31920,rv,,rv,TRUE,1/21/21 10:31,"",https://morningconsult.com/form/global-leader-approval/,https://morningconsult.com/form/global-leader-approval/,,,538,,,11,Donald Trump,35.0,59.0,0
74215,169,Gallup,"","",Gallup,112,Gallup,2.5,-0.4,Live Phone,,,1/4/21,1/15/21,,"",,139263,1023,a,,a,,1/18/21 14:31,"",https://news.gallup.com/poll/328637/last-trump-job-approval-average-record-low.aspx,,,,538|Gallup,,,11,Donald Trump,34.0,62.0,4.0
74207,1189,Morning Consult,"","",Morning Consult,218,Morning Consult,1.9,-0.3,Online Opt-In Panel,,,1/12/21,1/14/21,,"",,139230,2200,a,,a,,1/15/21 17:18,"",https://assets.morningconsult.com/wp-uploads/2021/01/15151553/210146_crosstabs_MC_TECH_SOCIAL_MEDIA_Adults_v1.pdf,,,https://assets.morningconsult.com/wp-uploads/2021/01/15151553/210146_crosstabs_MC_TECH_SOCIAL_MEDIA_Adults_v1.pdf,538,,,11,Donald Trump,34.0,60.0,0
74229,1508,Harris Poll,763,Harvard CAPS,Harris Poll,133,Harris Insights & Analytics,1.5,-0.1,Online Opt-In Panel,,,1/12/21,1/14/21,,"",,139350,2006,rv,,rv,,1/20/21 11:36,"",https://thehill.com/homenews/campaign/534831-poll-majority-wants-trump-barred-from-running-for-office-again,,,,538,,,11,Donald Trump,47.0,53.0,0
74204,399,Rasmussen,1585,SLANTED,Rasmussen Reports,277,Rasmussen Reports,2.1,-0.5,IVR/Online Opt-In Panel,,,1/11/21,1/14/21,,"",,139226,1500,lv,,lv,TRUE,1/15/21 09:31,"",https://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,,,,538,,,11,Donald Trump,48.0,52.0,0
74208,1866,CNN/SSRS,"","",CNN/SSRS,844,CNN,2.8,-0.6,Live Phone,,,1/9/21,1/14/21,,"",,139232,1003,a,,a,,1/17/21 08:46,"","http://cdn.cnn.com/cnn/2021/images/01/17/rel1a.-.trump,.impeachment.pdf",,,"http://cdn.cnn.com/cnn/2021/images/01/17/rel1a.-.trump,.impeachment.pdf",538,,,11,Donald Trump,34.0,62.0,4.0
74239,1189,Morning Consult,"","",Morning Consult,218,Morning Consult,1.9,-0.3,Online Opt-In Panel,,,1/8/21,1/14/21,,"",,139386,31920,rv,,rv,TRUE,1/21/21 10:31,"",https://morningconsult.com/form/global-leader-approval/,https://morningconsult.com/form/global-leader-approval/,,,538,,,11,Donald Trump,35.0,59.0,0
74217,1205,Marist,"373,765",NPR | PBS NewsHour,Marist College,183,Marist College,2.9,-0.9,Live Phone,,,1/11/21,1/13/21,,"",,139265,1173,a,,a,,1/19/21 08:56,"",http://maristpoll.marist.edu/wp-content/uploads/2021/01/NPR_PBS-NewHour_Marist-Poll_USA-NOS-and-Tables_2101141333.pdf#page=3,,,,538,false,,11,Donald Trump,38.0,57.0,5.0
74217,1205,Marist,"373,765",NPR | PBS NewsHour,Marist College,183,Marist College,2.9,-0.9,Live Phone,,,1/11/21,1/13/21,,"",,139266,1012,rv,,rv,,1/19/21 08:56,"",http://maristpoll.marist.edu/wp-content/uploads/2021/01/NPR_PBS-NewHour_Marist-Poll_USA-NOS-and-Tables_2101141333.pdf#page=3,,,,538,false,,11,Donald Trump,40.0,55.0,4.0
74203,1704,ABC/Washington Post,"","",ABC News/The Washington Post,3,ABC News/The Washington Post,3.0,-1.2,Live Phone,,,1/10/21,1/13/21,,"",,139225,1002,a,,a,,1/15/21 08:38,data provided by Gary Langer,https://www.washingtonpost.com/context/jan-10-13-2021-washington-post-abc-news-poll/ab470cba-8e05-4692-af78-4949613740cc/,,,,538,,,11,Donald Trump,37.58,60.18,2.24
74209,1292,Hart/POS,132,NBC News,Hart Research Associates/Public Opinion Strategies,221,Hart Research Associates/Public Opinion Strategies,2.6,-0.7,Live Phone,,,1/10/21,1/13/21,,"",,139245,1000,rv,,rv,,1/17/21 09:22,"",https://beta.documentcloud.org/documents/20457943-210016-nbc-news-january-poll-1-17-21-release,,,,538,,,11,Donald Trump,43.0,55.0,2.0
74238,1189,Morning Consult,"","",Morning Consult,218,Morning Consult,1.9,-0.3,Online Opt-In Panel,,,1/7/21,1/13/21,,"",,139385,31920,rv,,rv,TRUE,1/21/21 10:31,"",https://morningconsult.com/form/global-leader-approval/,https://morningconsult.com/form/global-leader-approval/,,,538,,,11,Donald Trump,35.0,58.0,0
74192,399,Rasmussen,1585,SLANTED,Rasmussen Reports,277,Rasmussen Reports,2.1,-0.5,IVR/Online Opt-In Panel,,,1/10/21,1/12/21,,"",,139162,1500,lv,,lv,TRUE,1/13/21 09:22,"",https://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,,,,538,,,11,Donald Trump,46.0,53.0,0
74193,568,YouGov,352,Economist,YouGov,391,YouGov,3.0,-1.1,Online Matched Sample,,,1/10/21,1/12/21,,"",,139178,1500,a,,a,,1/13/21 14:06,"",https://docs.cdn.yougov.com/4yijjbkc2z/econTabReport.pdf,,,https://docs.cdn.yougov.com/4yijjbkc2z/econTabReport.pdf,538,,,11,Donald Trump,39.0,55.0,6.0
74193,568,YouGov,352,Economist,YouGov,391,YouGov,3.0,-1.1,Online Matched Sample,,,1/10/21,1/12/21,,"",,139179,1293,rv,,rv,,1/13/21 14:06,"",https://docs.cdn.yougov.com/4yijjbkc2z/econTabReport.pdf,,,https://docs.cdn.yougov.com/4yijjbkc2z/econTabReport.pdf,538,,,11,Donald Trump,41.0,55.0,4.0
