poll_id,pollster_id,pollster,sponsor_ids,sponsors,display_name,pollster_rating_id,pollster_rating_name,numeric_grade,pollscore,methodology,transparency_score,state,start_date,end_date,sponsor_candidate_id,sponsor_candidate,sponsor_candidate_party,endorsed_candidate_id,endorsed_candidate_name,endorsed_candidate_party,question_id,sample_size,population,subpopulation,population_full,tracking,created_at,notes,url,url_article,url_topline,url_crosstab,source,internal,partisan,race_id,cycle,office_type,seat_number,seat_name,election_date,stage,nationwide_batch,ranked_choice_reallocated,ranked_choice_round,hypothetical,party,answer,candidate_id,candidate_name,pct
89617,1304,Praecones Analytica,645,New Hampshire Journal,Praecones Analytica,257,Praecones Analytica,2.0,0.0,,8.5,New Hampshire,2/26/25,3/1/25,,"",,,,,218648,626,rv,,rv,,3/3/25 10:12,"",https://nhjournal.com/exclusive-poll-age-issue-dogs-shaheen-trails-sununu-by-9-points/,https://nhjournal.com/exclusive-poll-age-issue-dogs-shaheen-trails-sununu-by-9-points/,https://acrobat.adobe.com/id/urn:aaid:sc:US:92a74d98-6f01-468a-a83c-3b77948af35f,,"",,,16105,2026,U.S. Senate,0,Class II,11/3/26,general,false,false,,true,DEM,Shaheen,37886,Jeanne Shaheen,55.1
89617,1304,Praecones Analytica,645,New Hampshire Journal,Praecones Analytica,257,Praecones Analytica,2.0,0.0,,8.5,New Hampshire,2/26/25,3/1/25,,"",,,,,218648,626,rv,,rv,,3/3/25 10:12,"",https://nhjournal.com/exclusive-poll-age-issue-dogs-shaheen-trails-sununu-by-9-points/,https://nhjournal.com/exclusive-poll-age-issue-dogs-shaheen-trails-sununu-by-9-points/,https://acrobat.adobe.com/id/urn:aaid:sc:US:92a74d98-6f01-468a-a83c-3b77948af35f,,"",,,16105,2026,U.S. Senate,0,Class II,11/3/26,general,false,false,,true,REP,Brown,37887,Scott Brown,44.9
89617,1304,Praecones Analytica,645,New Hampshire Journal,Praecones Analytica,257,Praecones Analytica,2.0,0.0,,8.5,New Hampshire,2/26/25,3/1/25,,"",,,,,218649,626,rv,,rv,,3/3/25 10:13,"",https://nhjournal.com/exclusive-poll-age-issue-dogs-shaheen-trails-sununu-by-9-points/,https://nhjournal.com/exclusive-poll-age-issue-dogs-shaheen-trails-sununu-by-9-points/,https://acrobat.adobe.com/id/urn:aaid:sc:US:92a74d98-6f01-468a-a83c-3b77948af35f,,"",,,16105,2026,U.S. Senate,0,Class II,11/3/26,general,false,false,,true,DEM,Shaheen,37886,Jeanne Shaheen,58.9
89617,1304,Praecones Analytica,645,New Hampshire Journal,Praecones Analytica,257,Praecones Analytica,2.0,0.0,,8.5,New Hampshire,2/26/25,3/1/25,,"",,,,,218649,626,rv,,rv,,3/3/25 10:13,"",https://nhjournal.com/exclusive-poll-age-issue-dogs-shaheen-trails-sununu-by-9-points/,https://nhjournal.com/exclusive-poll-age-issue-dogs-shaheen-trails-sununu-by-9-points/,https://acrobat.adobe.com/id/urn:aaid:sc:US:92a74d98-6f01-468a-a83c-3b77948af35f,,"",,,16105,2026,U.S. Senate,0,Class II,11/3/26,general,false,false,,true,REP,Edelblut,37888,Frank Edelblut,41.1
89617,1304,Praecones Analytica,645,New Hampshire Journal,Praecones Analytica,257,Praecones Analytica,2.0,0.0,,8.5,New Hampshire,2/26/25,3/1/25,,"",,,,,218650,626,rv,,rv,,3/3/25 10:13,"",https://nhjournal.com/exclusive-poll-age-issue-dogs-shaheen-trails-sununu-by-9-points/,https://nhjournal.com/exclusive-poll-age-issue-dogs-shaheen-trails-sununu-by-9-points/,https://acrobat.adobe.com/id/urn:aaid:sc:US:92a74d98-6f01-468a-a83c-3b77948af35f,,"",,,16105,2026,U.S. Senate,0,Class II,11/3/26,general,false,false,,true,DEM,Shaheen,37886,Jeanne Shaheen,45.6
89617,1304,Praecones Analytica,645,New Hampshire Journal,Praecones Analytica,257,Praecones Analytica,2.0,0.0,,8.5,New Hampshire,2/26/25,3/1/25,,"",,,,,218650,626,rv,,rv,,3/3/25 10:13,"",https://nhjournal.com/exclusive-poll-age-issue-dogs-shaheen-trails-sununu-by-9-points/,https://nhjournal.com/exclusive-poll-age-issue-dogs-shaheen-trails-sununu-by-9-points/,https://acrobat.adobe.com/id/urn:aaid:sc:US:92a74d98-6f01-468a-a83c-3b77948af35f,,"",,,16105,2026,U.S. Senate,0,Class II,11/3/26,general,false,false,,true,REP,Sununu,37889,Chris Sununu,54.4
89593,1888,UMass Amherst/YouGov,"","",University of Massachusetts Department of Political Science/YouGov,354,University of Massachusetts Department of Political Science,,0.0,Online Matched Sample,7.5,Massachusetts,2/14/25,2/20/25,,"",,,,,218458,700,a,,a,,2/25/25 10:18,"",https://www.umass.edu/political-science/about/reports/2025-0#toc--toplines-and-crosstabs-,https://www.umass.edu/political-science/about/reports/2025-0#toc--toplines-and-crosstabs-,"https://umass-my.sharepoint.com/personal/crystalpaul_umass_edu/Documents/UMass%20Poll%20Polls%20for%20Web%20Posting/State%20of%20the%20State%20of%20Massachusetts%20-%20February%2025,%202025/Toplines%20State%20of%20the%20State%20of%20Massachusetts%20-%20February%2025,%202025.pdf?CT=1740495721855&OR=ItemsView","https://umass-my.sharepoint.com/personal/crystalpaul_umass_edu/Documents/UMass%20Poll%20Polls%20for%20Web%20Posting/State%20of%20the%20State%20of%20Massachusetts%20-%20February%2025,%202025/Crosstabs%20State%20of%20the%20State%20of%20Massachusetts%20-%20February%2025,%202025.pdf?CT=1740495724140&OR=ItemsView","",false,,16099,2026,U.S. Senate,2,Class II,11/3/26,general,false,false,,true,DEM,Markey,37557,Edward J. Markey,35.0
89593,1888,UMass Amherst/YouGov,"","",University of Massachusetts Department of Political Science/YouGov,354,University of Massachusetts Department of Political Science,,0.0,Online Matched Sample,7.5,Massachusetts,2/14/25,2/20/25,,"",,,,,218458,700,a,,a,,2/25/25 10:18,"",https://www.umass.edu/political-science/about/reports/2025-0#toc--toplines-and-crosstabs-,https://www.umass.edu/political-science/about/reports/2025-0#toc--toplines-and-crosstabs-,"https://umass-my.sharepoint.com/personal/crystalpaul_umass_edu/Documents/UMass%20Poll%20Polls%20for%20Web%20Posting/State%20of%20the%20State%20of%20Massachusetts%20-%20February%2025,%202025/Toplines%20State%20of%20the%20State%20of%20Massachusetts%20-%20February%2025,%202025.pdf?CT=1740495721855&OR=ItemsView","https://umass-my.sharepoint.com/personal/crystalpaul_umass_edu/Documents/UMass%20Poll%20Polls%20for%20Web%20Posting/State%20of%20the%20State%20of%20Massachusetts%20-%20February%2025,%202025/Crosstabs%20State%20of%20the%20State%20of%20Massachusetts%20-%20February%2025,%202025.pdf?CT=1740495724140&OR=ItemsView","",false,,16099,2026,U.S. Senate,2,Class II,11/3/26,general,false,false,,true,REP,Baker,37558,Charles D. Baker,33.0
89571,1895,Quantus Insights,2184,TrendingPolitics,Quantus Insights,859,Quantus Insights,,,Online Opt-In Panel,5.5,Georgia,2/11/25,2/13/25,,"",,,,,218275,800,rv,,rv,,2/14/25 14:55,"",https://drive.google.com/file/d/1y1OMfSEOT4Y1_ABcW5Ap5cHAjyPr9kie/view,,,https://drive.google.com/file/d/1y1OMfSEOT4Y1_ABcW5Ap5cHAjyPr9kie/view,"",false,REP,16091,2026,U.S. Senate,0,Class II,11/3/26,general,false,false,,true,DEM,Ossoff,37817,Jon Ossoff,44.5
89571,1895,Quantus Insights,2184,TrendingPolitics,Quantus Insights,859,Quantus Insights,,,Online Opt-In Panel,5.5,Georgia,2/11/25,2/13/25,,"",,,,,218275,800,rv,,rv,,2/14/25 14:55,"",https://drive.google.com/file/d/1y1OMfSEOT4Y1_ABcW5Ap5cHAjyPr9kie/view,,,https://drive.google.com/file/d/1y1OMfSEOT4Y1_ABcW5Ap5cHAjyPr9kie/view,"",false,REP,16091,2026,U.S. Senate,0,Class II,11/3/26,general,false,false,,true,REP,Kemp,37818,Brian Kemp,48.3
